lambda_safety,policy,n_windows,loss_mean,loss_ci95,rmse_mean,rmse_ci95,missed_vio_mean,missed_vio_ci95
2.0,CAW-VoU,12,0.00498539273285681,0.00352902325712137,0.16636685653842279,0.10291442828421829,0.07670850767085076,0.05823222189739356
2.0,VoU,12,0.027892400852219907,0.03938052619385365,0.2094116991763044,0.12054704389920347,0.4532775453277546,0.6564508160883247
4.0,CAW-VoU,12,0.0035752816577173407,0.0029272714785896375,0.16671116420851662,0.1015446727578784,0.05346350534635053,0.04732762183981983
4.0,VoU,12,0.027892400852219907,0.03938052619385365,0.2094116991763044,0.12054704389920347,0.4532775453277546,0.6564508160883247
6.0,CAW-VoU,12,0.004369481603992329,0.0035784225875019906,0.16860338337514488,0.10436157721903502,0.06624825662482565,0.05478861078965068
6.0,VoU,12,0.027892400852219907,0.03938052619385365,0.2094116991763044,0.12054704389920347,0.4532775453277546,0.6564508160883247
8.0,CAW-VoU,12,0.0037439280550615995,0.00324173880678054,0.16882983736600507,0.10375326175824816,0.05578800557880056,0.05212794072305051
8.0,VoU,12,0.027892400852219907,0.03938052619385365,0.2094116991763044,0.12054704389920347,0.4532775453277546,0.6564508160883247
10.0,CAW-VoU,12,0.003171337887755695,0.002378388918288254,0.1682294045989522,0.10226540669442626,0.046490004649000466,0.03736845846673315
10.0,VoU,12,0.027892400852219907,0.03938052619385365,0.2094116991763044,0.12054704389920347,0.4532775453277546,0.6564508160883247
